timestamp,open,high,low,close,volume
2024-01-31 20:00,482.88,482.88,482.88,482.88,2975688
2024-01-31 19:59,484.01,484.03,484,484.02,23627
2024-01-31 19:58,484.01,484.04,484,484.01,475
2024-01-31 19:57,484.01,484.03,483.995,484.015,541
2024-01-31 19:56,484.01,484.01,483.98,483.98,915
2024-01-31 19:55,484,484.02,483.96,483.995,8495
2024-01-31 19:54,484,484.01,483.96,483.99,7729
2024-01-31 19:53,484.05,484.05,483.99,484,783
2024-01-31 19:52,484.06,484.06,484.04,484.05,1621
2024-01-31 19:51,484.06,484.08,484.03,484.06,1479
2024-01-31 19:50,484.05,484.12,484.05,484.11,876
2024-01-31 19:49,484.1,484.14,484.04,484.04,11034
2024-01-31 19:48,484.145,484.16,484.1,484.1,650
2024-01-31 19:47,484.2,484.24,484.14,484.16,2043
2024-01-31 19:46,484.27,484.28,484.215,484.23,1307
2024-01-31 19:45,484.22,484.25,484.16,484.25,2489
2024-01-31 19:44,484.21,484.24,484.18,484.225,686
2024-01-31 19:43,484.225,484.3,484.225,484.23,3118
2024-01-31 19:42,484.22,484.23,484.215,484.23,195
2024-01-31 19:41,484.21,484.23,484.19,484.19,857
2024-01-31 19:40,484.26,484.26,484.21,484.22,596
2024-01-31 19:39,484.26,484.27,484.25,484.25,70
2024-01-31 19:38,484.285,484.3,484.26,484.27,226
2024-01-31 19:37,484.22,484.295,484.22,484.295,459
2024-01-31 19:36,484.22,484.26,484.2,484.26,209
2024-01-31 19:35,484.22,484.25,484.22,484.22,34
2024-01-31 19:34,484.27,484.29,484.21,484.25,1195
2024-01-31 19:33,484.2,484.35,484.19,484.29,1368
2024-01-31 19:32,484.215,484.23,484.19,484.2,2259
2024-01-31 19:31,484.22,484.23,484.195,484.205,1342
2024-01-31 19:30,484.15,484.25,484.15,484.25,1431
2024-01-31 19:29,484.11,484.16,484.105,484.145,2673
2024-01-31 19:28,484.04,484.11,484.04,484.11,284
2024-01-31 19:27,484.03,484.07,484.025,484.025,3112
2024-01-31 19:26,483.98,484.04,483.98,484.04,2092
2024-01-31 19:25,483.99,484.02,483.98,483.99,9780
2024-01-31 19:24,483.965,484.01,483.965,483.98,15718
2024-01-31 19:23,483.96,483.965,483.93,483.965,138
2024-01-31 19:22,483.955,483.97,483.95,483.96,110
2024-01-31 19:21,483.92,483.96,483.92,483.96,2761
2024-01-31 19:20,483.905,483.93,483.9,483.92,389
2024-01-31 19:19,483.89,483.92,483.865,483.905,1036
2024-01-31 19:18,483.9,483.92,483.88,483.89,367
2024-01-31 19:17,483.9,483.9,483.86,483.88,561
2024-01-31 19:16,483.86,483.89,483.81,483.86,2718
2024-01-31 19:15,483.9,483.9,483.86,483.87,17
2024-01-31 19:14,483.88,483.895,483.865,483.895,919
2024-01-31 19:13,483.81,483.84,483.81,483.84,628
2024-01-31 19:12,483.75,483.81,483.75,483.81,4812
2024-01-31 19:11,483.755,483.78,483.755,483.76,599
2024-01-31 19:10,483.75,483.77,483.735,483.77,223
2024-01-31 19:09,483.735,483.75,483.735,483.75,703
2024-01-31 19:08,483.76,483.76,483.72,483.76,2670
2024-01-31 19:07,483.7,483.76,483.7,483.73,17
2024-01-31 19:06,483.745,483.745,483.74,483.74,109
2024-01-31 19:05,483.76,483.79,483.73,483.745,46
2024-01-31 19:04,483.79,483.79,483.765,483.765,20
2024-01-31 19:03,483.78,483.8,483.76,483.76,393
2024-01-31 19:02,483.775,483.8,483.75,483.785,556
2024-01-31 19:01,483.76,483.79,483.71,483.76,305
2024-01-31 19:00,483.71,483.74,483.71,483.74,465
2024-01-31 18:59,483.695,483.71,483.68,483.68,44
2024-01-31 18:58,483.685,483.71,483.65,483.68,176
2024-01-31 18:57,483.71,483.74,483.682,483.71,61
2024-01-31 18:56,483.75,483.76,483.64,483.71,2040
2024-01-31 18:55,483.74,483.77,483.74,483.76,249
2024-01-31 18:54,483.73,483.77,483.73,483.77,629
2024-01-31 18:53,483.77,483.78,483.73,483.73,208
2024-01-31 18:52,483.75,483.76,483.73,483.76,96
2024-01-31 18:51,483.71,483.75,483.71,483.75,41
2024-01-31 18:50,483.715,483.75,483.69,483.73,125
2024-01-31 18:49,483.66,483.7,483.66,483.7,632
2024-01-31 18:48,483.64,483.68,483.63,483.68,393
2024-01-31 18:47,483.645,483.67,483.645,483.65,1034
2024-01-31 18:46,483.72,483.72,483.65,483.67,504
2024-01-31 18:45,483.69,483.72,483.66,483.72,114
2024-01-31 18:44,483.68,483.69,483.63,483.65,535
2024-01-31 18:43,483.7,483.72,483.7,483.72,143
2024-01-31 18:42,483.7,483.72,483.66,483.66,116
2024-01-31 18:41,483.683,483.72,483.68,483.72,263
2024-01-31 18:40,483.7,483.72,483.69,483.72,67
2024-01-31 18:39,483.69,483.72,483.69,483.7,35
2024-01-31 18:38,483.715,483.73,483.65,483.72,1107
2024-01-31 18:37,483.72,483.727,483.69,483.727,84
2024-01-31 18:36,483.66,483.73,483.66,483.68,3286
2024-01-31 18:35,483.6,483.69,483.6,483.66,22
2024-01-31 18:34,483.65,483.67,483.59,483.59,1226
2024-01-31 18:33,483.67,483.69,483.635,483.65,31
2024-01-31 18:32,483.695,483.71,483.6,483.69,95
2024-01-31 18:31,483.72,483.73,483.69,483.695,1116
2024-01-31 18:30,482.88,483.75,482.88,483.73,2975815
2024-01-31 18:29,483.73,483.77,483.72,483.72,1080
2024-01-31 18:28,483.67,483.74,483.67,483.74,1297
2024-01-31 18:27,483.63,483.69,483.62,483.69,574
2024-01-31 18:26,483.63,483.68,483.63,483.64,3029
2024-01-31 18:25,483.56,483.64,483.56,483.64,1092
2024-01-31 18:24,483.565,483.62,483.565,483.62,156
2024-01-31 18:23,483.555,483.59,483.54,483.565,569
2024-01-31 18:22,483.64,483.64,483.58,483.58,3289
2024-01-31 18:21,483.63,483.66,483.625,483.63,338
2024-01-31 18:20,483.66,483.69,483.58,483.69,1057
2024-01-31 18:19,483.675,483.68,483.65,483.68,174
2024-01-31 18:18,483.71,483.71,483.66,483.66,510
2024-01-31 18:17,483.68,483.75,483.675,483.71,1918
2024-01-31 18:16,483.65,483.691,483.62,483.66,794
2024-01-31 18:15,483.54,483.65,483.52,483.6,1616
2024-01-31 18:14,483.55,483.55,483.52,483.55,1261
2024-01-31 18:13,483.5,483.55,483.5,483.535,855
2024-01-31 18:12,483.44,483.525,483.42,483.525,5914
2024-01-31 18:11,483.4,483.42,483.38,483.42,1571
2024-01-31 18:10,483.391,483.415,483.38,483.4,22
2024-01-31 18:09,483.375,483.4,483.34,483.35,6117
2024-01-31 18:08,483.415,483.44,483.37,483.375,1209
2024-01-31 18:07,483.35,483.38,483.33,483.38,705
2024-01-31 18:06,483.4,483.415,483.38,483.4,312
2024-01-31 18:05,483.36,483.44,483.36,483.44,1289
2024-01-31 18:04,483.35,483.42,483.34,483.42,402
2024-01-31 18:03,483.34,483.367,483.32,483.34,1410
2024-01-31 18:02,483.365,483.365,483.3,483.33,6118
2024-01-31 18:01,483.39,483.42,483.35,483.365,8527
2024-01-31 18:00,483.41,483.58,483.35,483.385,14751
2024-01-31 17:59,483.28,483.45,483.28,483.45,3297
2024-01-31 17:58,483.33,483.34,483.27,483.28,1172
2024-01-31 17:57,483.34,483.34,483.28,483.33,478
2024-01-31 17:56,483.34,483.34,483.3,483.34,16
2024-01-31 17:55,483.31,483.34,483.3,483.3,345
2024-01-31 17:54,483.32,483.34,483.3,483.32,38
2024-01-31 17:53,483.28,483.34,483.2,483.3,204
2024-01-31 17:52,483.29,483.34,483.28,483.3,83
2024-01-31 17:51,483.28,483.34,483.26,483.3,521
2024-01-31 17:50,483.34,483.34,483.26,483.3,488
2024-01-31 17:49,483.3,483.34,483.26,483.26,588
2024-01-31 17:48,483.28,483.34,483.25,483.34,874
2024-01-31 17:47,483.34,483.34,483.25,483.34,231
2024-01-31 17:46,483.28,483.34,483.25,483.34,327
2024-01-31 17:45,483.28,483.4,483.25,483.25,3226
2024-01-31 17:44,483.28,483.28,483.221,483.28,223
2024-01-31 17:43,483.24,483.28,483.24,483.28,33
